86;;;;;;;100;2016/11/04;7;26;14;TRUE;502645
87;5;;;;;;70;2016/11/07;7;26;14;FALSE;504707
88;12;6;;;;;65;2016/11/08;7;26;14;FALSE;506506
89;12;6;;;;;65;2016/11/09;7;26;14;FALSE;508221
90;12;1;6;;;;50;2016/11/10;7;26;14;FALSE;509909
91;;;;;;;100;2016/11/14;7;26;14;TRUE;511954
92;;;;;;;100;2016/11/15;7;26;14;TRUE;514112
93;;;;;;;100;2016/11/16;7;26;14;TRUE;516010
94;;;;;;;100;2016/11/17;7;26;14;TRUE;517881
95;;;;;;;100;2016/11/18;7;26;14;TRUE;519675
96;6;;;;;;70;2016/11/21;7;26;14;FALSE;521862
97;10;;;;;;90;2016/11/22;7;26;14;FALSE;524245
98;;;;;;;100;2016/11/24;7;26;14;TRUE;528410
99;;;;;;;100;2016/11/25;7;26;14;TRUE;530065
100;12;;;;;;95;2016/10/31;7;20;14;FALSE;496849
101;12;;;;;;95;2016/11/02;7;20;14;FALSE;498166
102;10;;;;;;90;2016/11/03;7;20;14;FALSE;500341
103;12;1;;;;;80;2016/11/04;7;20;14;FALSE;502628
104;12;6;;;;;65;2016/11/07;7;20;14;FALSE;504145
105;12;;;;;;95;2016/11/08;7;20;14;FALSE;506294
106;;;;;;;100;2016/11/09;7;20;14;TRUE;508398
107;12;;;;;;95;2016/11/10;7;20;14;FALSE;510233
108;12;6;;;;;65;2016/11/14;7;20;14;FALSE;512368
109;12;;;;;;95;2016/11/15;7;20;14;FALSE;513798
110;12;;;;;;95;2016/11/16;7;20;14;FALSE;515720
111;;;;;;;100;2016/11/17;7;20;14;TRUE;517554
112;;;;;;;100;2016/11/18;7;20;14;TRUE;519411
113;;;;;;;100;2016/11/21;7;20;14;TRUE;521692
114;;;;;;;100;2016/11/22;7;20;14;TRUE;523984
115;;;;;;;100;2016/11/23;7;20;14;TRUE;526139
116;;;;;;;100;2016/11/24;7;20;14;TRUE;528241
117;;;;;;;100;2016/11/25;7;20;14;TRUE;530108
118;6;;;;;;70;2016/10/31;7;27;14;FALSE;496920
119;6;;;;;;70;2016/11/02;7;27;14;FALSE;498244
120;6;;;;;;70;2016/11/03;7;27;14;FALSE;500229
121;;;;;;;100;2016/11/04;7;27;14;TRUE;502291
122;6;;;;;;70;2016/11/07;7;27;14;FALSE;504294
123;6;;;;;;70;2016/11/08;7;27;14;FALSE;506363
124;;;;;;;100;2016/11/09;7;27;14;TRUE;508395
125;6;;;;;a mettre dans detail, pas dans la sollution;70;2016/11/10;7;27;14;FALSE;510033
126;;;;;;;100;2016/11/14;7;27;14;TRUE;512440
127;1;;;;;;85;2016/11/15;7;27;14;FALSE;514113
128;;;;;;;100;2016/11/16;7;27;14;TRUE;515805
129;;;;;;;100;2016/11/17;7;27;14;TRUE;517891
130;;;;;;;100;2016/11/18;7;27;14;TRUE;519438
131;;;;;;;100;2016/11/21;7;27;14;TRUE;521881
132;;;;;;;100;2016/11/22;7;27;14;TRUE;523932
133;;;;;;;100;2016/11/23;7;27;14;TRUE;526193
134;6;;;;;;70;2016/11/24;7;27;14;FALSE;528141
135;;;;;;;100;2016/11/25;7;27;14;TRUE;529375
136;12;5;;;;;65;2016/10/31;7;23;14;FALSE;496775
137;12;;;;;;95;2016/11/02;7;23;14;FALSE;498865
138;12;;;;;;95;2016/11/03;7;23;14;FALSE;500419
139;12;5;;;;;65;2016/11/04;7;23;14;FALSE;502361
140;;;;;;;100;2016/11/07;7;23;14;TRUE;504435
141;;;;;;;100;2016/11/08;7;23;14;TRUE;506351
142;;;;;;;100;2016/11/09;7;23;14;TRUE;508605
143;;;;;;;100;2016/11/10;7;23;14;TRUE;510116
144;;;;;;;100;2016/11/14;7;23;14;TRUE;512315
145;;;;;;;100;2016/11/15;7;23;14;TRUE;514307
